date,product_name,category,quantity,unit_price,total_amount,customer_type
01-10-2024,Wheel Balancing Weight Set,Tyres & Wheels,2,85,170,Retail
01-10-2024,MRF Tyre 165/70R14,Tyres & Wheels,2,3683,7366,Retail
01-10-2024,Engine Oil 10W40 (1L),Consumables,3,430,1290,Retail
01-11-2024,Clutch Plate Set,Engine Parts,4,2015,8060,Workshop
01-11-2024,Bumper Clip Set,Body Parts,11,85,935,Fleet
01-11-2024,Wiper Blade 16inch,Body Parts,2,205,410,Retail
01-11-2024,Wiper Blade 14inch,Body Parts,2,241,482,Retail
02-10-2024,Grease Cartridge,Consumables,1,105,105,Retail
02-11-2024,Bearing Front Wheel,Engine Parts,2,789,1578,Retail
02-11-2024,Apollo Tyre 185/65R15,Tyres & Wheels,3,4057,12171,Retail
02-12-2024,Bearing Rear Wheel,Engine Parts,1,640,640,Retail
02-12-2024,Radiator Hose Lower,Engine Parts,10,334,3340,Fleet
02-12-2024,Bearing Front Wheel,Engine Parts,2,853,1706,Retail
03-10-2024,Bosch Brake Pads (Rear),Engine Parts,3,674,2022,Retail
03-10-2024,Wiper Blade 14inch,Body Parts,3,253,759,Retail
03-10-2024,Timing Belt Kit,Engine Parts,1,1505,1505,Retail
03-12-2024,CEAT Tyre 155/70R13,Tyres & Wheels,1,2639,2639,Retail
03-12-2024,NGK Air Filter,Filters,1,235,235,Retail
04-10-2024,Timing Belt Kit,Engine Parts,2,1596,3192,Retail
04-10-2024,Apollo Tyre 185/65R15,Tyres & Wheels,4,3871,15484,Workshop
04-10-2024,Door Handle (Front),Body Parts,3,548,1644,Retail
04-10-2024,Starter Motor Brush Set,Electrical,3,415,1245,Retail
04-11-2024,NGK Air Filter,Filters,1,184,184,Retail
04-11-2024,Bosch Oil Filter,Filters,7,139,973,Workshop
04-11-2024,Piston Ring Set,Engine Parts,1,2793,2793,Retail
04-12-2024,NGK Spark Plug,Engine Parts,1,100,100,Retail
05-10-2024,Champion Spark Plug,Engine Parts,5,101,505,Workshop
05-10-2024,Bosch Brake Pads (Front),Engine Parts,5,884,4420,Workshop
05-10-2024,Radiator Hose Lower,Engine Parts,8,365,2920,Workshop
05-11-2024,Radiator Hose Upper,Engine Parts,1,532,532,Retail
05-11-2024,Indicator Bulb Set,Electrical,2,99,198,Retail
05-11-2024,Indicator Bulb Set,Electrical,1,96,96,Retail
05-12-2024,Engine Oil 5W30 (1L),Consumables,3,441,1323,Retail
05-12-2024,Door Handle (Front),Body Parts,8,471,3768,Workshop
05-12-2024,Exide Battery 35AH,Electrical,2,3530,7060,Retail
05-12-2024,Lucas Battery 35AH,Electrical,5,3160,15800,Workshop
06-10-2024,CEAT Tyre 155/70R13,Tyres & Wheels,4,3132,12528,Workshop
06-11-2024,NGK Air Filter,Filters,11,237,2607,Fleet
06-11-2024,Chain Lubricant,Consumables,2,108,216,Retail
06-12-2024,Bumper Clip Set,Body Parts,1,82,82,Retail
07-10-2024,Engine Oil 10W40 (1L),Consumables,3,390,1170,Retail
07-10-2024,Bosch Brake Pads (Front),Engine Parts,4,815,3260,Workshop
07-10-2024,Piston Ring Set,Engine Parts,5,2976,14880,Workshop
07-10-2024,Side Mirror (Left),Body Parts,3,601,1803,Retail
07-10-2024,NGK Spark Plug,Engine Parts,3,110,330,Retail
07-10-2024,Door Handle (Front),Body Parts,5,400,2000,Workshop
07-11-2024,Tube 165/70R14,Tyres & Wheels,5,400,2000,Workshop
07-12-2024,Door Handle (Front),Body Parts,3,383,1149,Retail
07-12-2024,Grease Cartridge,Consumables,3,110,330,Retail
08-10-2024,Headlight Bulb H4,Electrical,3,218,654,Retail
08-10-2024,Bearing Rear Wheel,Engine Parts,3,660,1980,Retail
08-11-2024,NGK Air Filter,Filters,3,183,549,Retail
08-11-2024,Tube 165/70R14,Tyres & Wheels,2,408,816,Retail
08-11-2024,Coolant (500ml),Consumables,8,217,1736,Workshop
09-10-2024,Chain Lubricant,Consumables,1,90,90,Retail
09-10-2024,Wheel Balancing Weight Set,Tyres & Wheels,3,112,336,Workshop
09-10-2024,Engine Oil 10W40 (1L),Consumables,3,411,1233,Retail
09-11-2024,Lucas Battery 35AH,Electrical,3,2967,8901,Workshop
09-12-2024,Radiator Hose Lower,Engine Parts,5,448,2240,Workshop
10-10-2024,CEAT Tyre 155/70R13,Tyres & Wheels,2,2907,5814,Retail
