date,product_name,category,quantity,unit_price,total_amount,customer_type
01-01-2024,NGK Spark Plug,Engine Parts,7,101,707,Workshop
01-02-2024,Radiator Hose Upper,Engine Parts,3,408,1224,Retail
01-02-2024,Amaron Battery 45AH,Electrical,6,4623,27738,Workshop
01-03-2024,Starter Motor Brush Set,Electrical,1,403,403,Retail
01-03-2024,Chain Lubricant,Consumables,1,107,107,Retail
01-03-2024,Door Handle (Front),Body Parts,3,368,1104,Retail
01-03-2024,Bearing Front Wheel,Engine Parts,2,734,1468,Retail
02-01-2024,Starter Motor Brush Set,Electrical,3,444,1332,Retail
02-01-2024,Clutch Plate Set,Engine Parts,3,2088,6264,Retail
02-01-2024,Tube 165/70R14,Tyres & Wheels,15,375,5625,Fleet
02-02-2024,Engine Oil 10W40 (1L),Consumables,5,418,2090,Workshop
02-02-2024,NGK Air Filter,Filters,15,258,3870,Fleet
02-03-2024,Tube 165/70R14,Tyres & Wheels,3,452,1356,Retail
02-03-2024,Radiator Hose Upper,Engine Parts,14,449,6286,Fleet
02-03-2024,Timing Belt Kit,Engine Parts,5,1409,7045,Workshop
03-01-2024,Exide Battery 35AH,Electrical,4,3341,13364,Workshop
03-01-2024,Hydraulic Filter,Filters,6,314,1884,Workshop
03-02-2024,Engine Oil 10W40 (1L),Consumables,3,434,1302,Workshop
03-02-2024,Bosch Brake Pads (Front),Engine Parts,2,833,1666,Retail
03-02-2024,Radiator Hose Upper,Engine Parts,4,489,1956,Workshop
03-02-2024,Side Mirror (Left),Body Parts,3,589,1767,Retail
03-03-2024,Coolant (500ml),Consumables,1,182,182,Retail
03-03-2024,Bearing Rear Wheel,Engine Parts,7,654,4578,Fleet
03-03-2024,Bearing Rear Wheel,Engine Parts,2,810,1620,Retail
03-03-2024,Amaron Battery 45AH,Electrical,14,4727,66178,Fleet
03-03-2024,Bearing Front Wheel,Engine Parts,3,698,2094,Retail
04-01-2024,Alternator Belt,Electrical,3,327,981,Retail
04-01-2024,Bosch Brake Pads (Front),Engine Parts,2,759,1518,Retail
04-01-2024,Piston Ring Set,Engine Parts,8,2783,22264,Workshop
04-01-2024,Apollo Tyre 185/65R15,Tyres & Wheels,1,3815,3815,Retail
04-01-2024,Alternator Belt,Electrical,2,312,624,Retail
04-02-2024,Wheel Balancing Weight Set,Tyres & Wheels,4,121,484,Workshop
04-02-2024,Apollo Tyre 185/65R15,Tyres & Wheels,6,4449,26694,Workshop
04-02-2024,Engine Oil 5W30 (1L),Consumables,3,476,1428,Retail
